CPU: ID 0x906c0, Processor Type 0x0, Family 0x6, Model 0x9c, Stepping 0x0
Northbridge: 8086:4e24 (unknown)
Southbridge: 8086:4d87 (Jasper Lake)
IGD: 8086:4e61 (unknown)
SBREG_BAR = 0xfd000000 (MEM)


============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0x690000

0x07e0: 0x0000000080000400 VGPIO_PCIE15 VGPIO_PCIE15        
0x07f0: 0x0000000080000400 VGPIO_PCIE16 VGPIO_PCIE16        
0x0800: 0x0000000080000400 VGPIO_PCIE17 VGPIO_PCIE17        
0x0810: 0x0000000080000400 VGPIO_PCIE18 VGPIO_PCIE18        
0x0820: 0x0000000080000400 VGPIO_PCIE19 VGPIO_PCIE19        
0x0830: 0x0000000080000400 VGPIO_PCIE20 VGPIO_PCIE20        
0x0840: 0x0000000080000400 VGPIO_PCIE21 VGPIO_PCIE21        
0x0850: 0x0000000080000400 VGPIO_PCIE22 VGPIO_PCIE22        
0x0860: 0x0000000080000400 VGPIO_PCIE23 VGPIO_PCIE23        
0x0870: 0x0000000080000400 VGPIO_PCIE24 VGPIO_PCIE24        
0x0880: 0x0000000080000400 VGPIO_PCIE25 VGPIO_PCIE25        
0x0890: 0x0000000080000400 VGPIO_PCIE26 VGPIO_PCIE26        
0x08a0: 0x0000000080000400 VGPIO_PCIE27 VGPIO_PCIE27        
0x08b0: 0x0000000080000400 VGPIO_PCIE28 VGPIO_PCIE28        
0x08c0: 0x0000000080000400 VGPIO_PCIE29 VGPIO_PCIE29        
0x08d0: 0x0000000080000400 VGPIO_PCIE30 VGPIO_PCIE30        
0x08e0: 0x0000000080000400 VGPIO_PCIE31 VGPIO_PCIE31        
0x08f0: 0x0000000080000400 VGPIO_PCIE32 VGPIO_PCIE32        
0x0900: 0x0000000080000400 VGPIO_PCIE33 VGPIO_PCIE33        
0x0910: 0x0000000080000400 VGPIO_PCIE34 VGPIO_PCIE34        
0x0920: 0x0000000080000400 VGPIO_PCIE35 VGPIO_PCIE35        
0x0930: 0x0000000080000400 VGPIO_PCIE36 VGPIO_PCIE36        
0x0940: 0x0000000080000400 VGPIO_PCIE37 VGPIO_PCIE37        
0x0950: 0x0000000080000400 VGPIO_PCIE38 VGPIO_PCIE38        
0x0960: 0x0000000080000400 VGPIO_PCIE39 VGPIO_PCIE39        
0x0970: 0x0000000080000400 VGPIO_PCIE40 VGPIO_PCIE40        
0x0980: 0x0000000080000400 VGPIO_PCIE41 VGPIO_PCIE41        
0x0990: 0x0000000080000400 VGPIO_PCIE42 VGPIO_PCIE42        
0x09a0: 0x0000000080000400 VGPIO_PCIE43 VGPIO_PCIE43        
0x09b0: 0x0000000080000400 VGPIO_PCIE44 VGPIO_PCIE44        
0x09c0: 0x0000000080000400 VGPIO_PCIE45 VGPIO_PCIE45        
0x09d0: 0x0000000080000400 VGPIO_PCIE46 VGPIO_PCIE46        
0x09e0: 0x0000000080000400 VGPIO_PCIE47 VGPIO_PCIE47        
0x09f0: 0x0000000080000400 VGPIO_PCIE48 VGPIO_PCIE48        
0x0a00: 0x0000000080000400 VGPIO_PCIE49 VGPIO_PCIE49        
0x0a10: 0x0000000080000400 VGPIO_PCIE50 VGPIO_PCIE50        
0x0a20: 0x0000000080000400 VGPIO_PCIE51 VGPIO_PCIE51        
0x0a30: 0x0000000080000400 VGPIO_PCIE52 VGPIO_PCIE52        
0x0a40: 0x0000000080000400 VGPIO_PCIE53 VGPIO_PCIE53        
0x0a50: 0x0000000080000400 VGPIO_PCIE54 VGPIO_PCIE54        
0x0a60: 0x0000000080000400 VGPIO_PCIE55 VGPIO_PCIE55        
0x0a70: 0x0000000080000400 VGPIO_PCIE56 VGPIO_PCIE56        
0x0a80: 0x0000000080000400 VGPIO_PCIE57 VGPIO_PCIE57        
0x0a90: 0x0000000080000400 VGPIO_PCIE58 VGPIO_PCIE58        
0x0aa0: 0x0000000080000400 VGPIO_PCIE59 VGPIO_PCIE59        
0x0ab0: 0x0000000080000400 VGPIO_PCIE60 VGPIO_PCIE60        
0x0ac0: 0x0000000080000400 VGPIO_PCIE61 VGPIO_PCIE61        
0x0ad0: 0x0000000080000400 VGPIO_PCIE62 VGPIO_PCIE62        
0x0ae0: 0x0000000080000400 VGPIO_PCIE63 VGPIO_PCIE63        
0x0af0: 0x0000000080000400 VGPIO_PCIE64 VGPIO_PCIE64        
0x0b00: 0x0000000080000400 VGPIO_PCIE65 VGPIO_PCIE65        
0x0b10: 0x0000000080000400 VGPIO_PCIE66 VGPIO_PCIE66        
0x0b20: 0x0000000080000400 VGPIO_PCIE67 VGPIO_PCIE67        
0x0b30: 0x0000000080000400 VGPIO_PCIE68 VGPIO_PCIE68        
0x0b40: 0x0000000080000400 VGPIO_PCIE69 VGPIO_PCIE69        
0x0b50: 0x0000000080000400 VGPIO_PCIE70 VGPIO_PCIE70        
0x0b60: 0x0000000080000400 VGPIO_PCIE71 VGPIO_PCIE71        
0x0b70: 0x0000000080000400 VGPIO_PCIE72 VGPIO_PCIE72        
0x0b80: 0x0000000080000400 VGPIO_PCIE73 VGPIO_PCIE73        
0x0b90: 0x0000000080000400 VGPIO_PCIE74 VGPIO_PCIE74        
0x0ba0: 0x0000000080000400 VGPIO_PCIE75 VGPIO_PCIE75        
0x0bb0: 0x0000000080000400 VGPIO_PCIE76 VGPIO_PCIE76        
0x0bc0: 0x0000000080000400 VGPIO_PCIE77 VGPIO_PCIE77        
0x0bd0: 0x0000000080000400 VGPIO_PCIE78 VGPIO_PCIE78        
0x0be0: 0x0000000080000400 VGPIO_PCIE79 VGPIO_PCIE79        
------- GPIO Group VGPIO_USB -------
0x0bf0: 0x0000000040000400 VGPIO_USB0   VGPIO_USB0          
0x0c00: 0x0000000040000400 VGPIO_USB1   VGPIO_USB1          
0x0c10: 0x0000000040000400 VGPIO_USB2   VGPIO_USB2          
0x0c20: 0x0000000040000400 VGPIO_USB3   VGPIO_USB3          
0x0c30: 0x0000000040000400 VGPIO_USB4   VGPIO_USB4          
0x0c40: 0x0000000040000400 VGPIO_USB5   VGPIO_USB5          
0x0c50: 0x0000000040000402 VGPIO_USB6   VGPIO_USB6          
0x0c60: 0x0000000040000402 VGPIO_USB7   VGPIO_USB7          
0x0c70: 0x0000000040000402 VGPIO_USB8   VGPIO_USB8          
0x0c80: 0x0000000040000402 VGPIO_USB9   VGPIO_USB9          
0x0c90: 0x0000000040000402 VGPIO_USB10  VGPIO_USB10         
0x0ca0: 0x0000000040000402 VGPIO_USB11  VGPIO_USB11         
------- GPIO Community 3 -------

PCR Port ID: 0x6c0000

------- GPIO Group GPD -------
0x0600: 0x0000006404000702 GPD0         BATLOW#             
0x0610: 0x00003c6504000702 GPD1         PMC_ACPRESENT       
0x0620: 0x0000006640880102 GPD2         GPIO                
0x0630: 0x0000306704000702 GPD3         PWRBTN#             
0x0640: 0x0000006804000600 GPD4         SLP_S3#             
0x0650: 0x0000006904000600 GPD5         SLP_S4#             
0x0660: 0x0000006a04000600 GPD6         SLP_A#              
0x0670: 0x0000006b04000200 GPD7         GPIO                
0x0680: 0x0000006c04000700 GPD8         SUSCLK              
0x0690: 0x0000006d04000600 GPD9         SLP_WLAN#           
0x06a0: 0x0000006e04000600 GPD10        SLP_S5#             
0x06b0: 0x0000000000000700 INPUT3VSEL   INPUT3VSEL          
0x06c0: 0x0000000000000700 SLP_SUS#     SLP_SUS#            
0x06d0: 0x0000000000000702 WAKE#        WAKE#               
0x06e0: 0x0000000000000700 DRAM_RESET#  DRAM_RESET#         
------- GPIO Community 4 -------

PCR Port ID: 0x6d0000

------- GPIO Group GPP_H -------
0x0600: 0x0000007080900102 GPP_H00      GPIO                
0x0610: 0x0000007144000f00 GPP_H01      CNV_RF_RESET_N      
0x0620: 0x0000007244000f00 GPP_H02      MODEM_CLKREQ        
0x0630: 0x0000007344000300 GPP_H03      GPIO                
0x0640: 0x0000007444000300 GPP_H04      GPIO                
0x0650: 0x0000007544000300 GPP_H05      GPIO                
0x0660: 0x0000007680100102 GPP_H06      GPIO                
0x0670: 0x0000007784000201 GPP_H07      GPIO                
0x0680: 0x0000001844000300 GPP_H08      GPIO                
0x0690: 0x0000001944000300 GPP_H09      GPIO                
0x06a0: 0x0000001a44000700 GPP_H10      CPU_C10_GATE_N      
0x06b0: 0x0000001b44000300 GPP_H11      GPIO                
0x06c0: 0x0000001c44000b00 GPP_H12      CNV_RF_RESET_N      
0x06d0: 0x0000001d44000b00 GPP_H13      MODEM_CLKREQ        
0x06e0: 0x0000001e84000102 GPP_H14      GPIO                
0x06f0: 0x0000001f44000300 GPP_H15      GPIO                
0x0700: 0x0000002084000201 GPP_H16      GPIO                
0x0710: 0x0000002144000300 GPP_H17      GPIO                
0x0720: 0x0000002284000201 GPP_H18      GPIO                
0x0730: 0x0000002384000200 GPP_H19      GPIO                
0x0740: 0x0000002444000300 GPP_H20      GPIO                
0x0750: 0x0000002544000300 GPP_H21      GPIO                
0x0760: 0x0000002644000300 GPP_H22      GPIO                
0x0770: 0x0000002744000300 GPP_H23      GPIO                
------- GPIO Group GPP_D -------
0x0780: 0x0000002844000201 GPP_D00      GPIO                
0x0790: 0x0000002944000201 GPP_D01      GPIO                
0x07a0: 0x0000002a80840102 GPP_D02      GPIO                
0x07b0: 0x0000002b84000200 GPP_D03      GPIO                
0x07c0: 0x0000002c84000201 GPP_D04      GPIO                
0x07d0: 0x0000002d84000201 GPP_D05      GPIO                
0x07e0: 0x0000002e44000201 GPP_D06      GPIO                
0x07f0: 0x0000002f44000201 GPP_D07      GPIO                
0x0800: 0x0000003044000300 GPP_D08      GPIO                
0x0810: 0x0000003144000300 GPP_D09      GPIO                
0x0820: 0x0000003244000300 GPP_D10      GPIO                
0x0830: 0x0000003344000300 GPP_D11      GPIO                
0x0840: 0x0000003444000300 GPP_D12      GPIO                
0x0850: 0x0000003544000300 GPP_D13      GPIO                
0x0860: 0x0000003684000200 GPP_D14      GPIO                
0x0870: 0x0000003780900102 GPP_D15      GPIO                
0x0880: 0x0000003840880102 GPP_D16      GPIO                
0x0890: 0x0000003940880102 GPP_D17      GPIO                
0x08a0: 0x0000003a44000300 GPP_D18      GPIO                
0x08b0: 0x0000003b44000300 GPP_D19      GPIO                
0x08c0: 0x0000003c44000300 GPP_D20      GPIO                
